id	ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE
uli-594_1	1 hour	1 heure	1 घंटा
uli-594_2	2 hours	2 heures	2 घंटा
uli-594_3	5 hours	5 heures	5 घंटा
uli-594_4	1 minute	1 minute	1 मिनट
uli-594_5	2 minutes	2 minutes	2 मिनट
uli-594_6	5 minutes	5 minutes	5 मिनट
uli-594_7	1 second	1 seconde	1 सेकंड
uli-594_8	2 seconds	2 secondes	2 सेकंड
uli-594_9	5 seconds	5 secondes	5 सेकंड
uli-594_10	1 day	1 jour	1 दिन
uli-594_11	2 days	2 jours	2 दिन
uli-594_12	5 days	5 jours	5 दिन
uli-594_13	1 week	1 semaine	1 हफ्ता
uli-594_14	2 weeks	2 semaines	2 हफ्ता
uli-594_15	5 weeks	5 semaines	5 हफ्ता
uli-594_16	1 month	1 mois	1 महीना
uli-594_17	2 months	2 mois	2 महीना
uli-594_18	5 months	5 mois	5 महीना
uli-594_19	1 year	1 an	1 बरिस
uli-594_20	2 years	2 ans	2 बरिस
uli-594_21	5 years	5 ans	5 बरिस
uli-594_22	The train departs in 1 hour	Le train part dans 1 heure	ट्रेन 1 घंटा में खुली
uli-594_23	The train departs in 2 hours	Le train part dans 2 heures	ट्रेन 2 घंटा में खुली
uli-594_24	The train departs in 5 hours	Le train part dans 5 heures	ट्रेन 5 घंटा में खुली
uli-594_25	The train departs in 1 minute	Le train part dans 1 minute	ट्रेन  1 मिनट में खुली
uli-594_26	The train departs in 2 minutes	Le train part dans 2 minutes	ट्रेन 2 मिनट में खुली
uli-594_27	The train departs in 5 minutes	Le train part dans 5 minutes	ट्रेन 5 मिनट में खुली
uli-594_28	The train departs in 1 second	Le train part dans 1 seconde	ट्रेन 1 सेकंड में खुली
uli-594_29	The train departs in 2 seconds	Le train part dans 2 secondes	ट्रेन 2 सेकंड में खुली
uli-594_30	The train departs in 5 seconds	Le train part dans 5 secondes	ट्रेन 5 सेकंड में खुली
uli-594_31	My birthday is in 1 day	Mon anniversaire est dans un jour	हमार जन्मदिन 1 दिन बाद बा
uli-594_32	My birthday is in 2 days	Mon anniversaire est dans deux jours.	2 दिन बाद हमार जन्मदिन बा
uli-594_33	My birthday is in 5 days	Mon anniversaire est dans 5 jours	5 दिन बाद हमार जन्मदिन बा
uli-594_34	My birthday is in 1 week	Mon anniversaire est dans une semaine	1 हफ्ता बाद हमार जन्मदिन बा
uli-594_35	My birthday is in 2 weeks	Mon anniversaire est dans deux semaines.	2 हफ्ता बाद हमार जन्मदिन बा
uli-594_36	My birthday is in 5 weeks	Mon anniversaire est dans 5 semaines	5 हफ्ता बाद हमार जन्मदिन बा
uli-594_37	My birthday is in 1 month	Mon anniversaire est dans un mois.	1 महीना बाद हमार जन्मदिन बा
uli-594_38	My birthday is in 2 months	Mon anniversaire est dans deux mois.	2 महीना बाद हमार जन्मदिन बा
uli-594_39	My birthday is in 5 months	Mon anniversaire est dans 5 mois	5 महीना बाद हमार जन्मदिन बा
uli-594_40	I finish school in 1 year	Je termine mes études dans un an.	1 बरिस में हमार स्कूल खतम हो जाई
uli-594_41	I finish school in 2 years	Je termine mes études dans 2 ans	2 बरिस में हमार स्कूल खतम हो जाई
uli-594_42	I finish school in 5 years	Je termine mes études dans 5 ans.	5 बरिस में हमार स्कूल खतम हो जाई
uli-594_43	The battery is 100% full.	La batterie est chargée à 100%.	बैटरी 100% चार्ज बा.
uli-594_44	The battery is 53% full.	La batterie est chargée à 53%.	बैटरी 35% चार्ज बा.
uli-594_45	The batter is 10% full.	La pâte est remplie à 10%.	बैटरी 10% चार्ज बा.
uli-594_46	100%	100%	1
uli-594_47	53%	53%	0.53
uli-594_48	10%	10%	0.1
uli-594_49	5 divided by 2 equals 2.5	5 divisé par 2 égale 2,5	5 के 2 से भाग दिहला प 2.5 मिली
uli-594_50	7 divided by 2 equals 3.5	7 divisé par 2 égale 3,5	7 के 2 से भाग दिहला प 3.5 मिली
uli-594_51	15 divided by 2 equals 7.5	15 divisé par 2 égale 7,5	15 के 2 से भाग दिहला प 7.5 मिली
uli-594_52	2.5	2.5	2.5
uli-594_53	3.5	3.5	3.5
uli-594_54	7.5	7,5	7.5
uli-594_55	2.5 + 2.5 = 5	2,5 + 2,5 = 5	2.5 + 2.5 = 5
uli-594_56	3.5 + 3.5 = 7	3,5 + 3,5 = 7	3.5 + 3.5 = 7
uli-594_57	7.5 + 7.5 = 15	7,5 + 7,5 = 15	7.5 + 7.5 = 15
uli-594_58	5 - 2.5 = 2.5	5 - 2,5 = 2,5	5 - 2.5 = 2.5
uli-594_59	8 - 4 = 4	8 - 4 = 4	8 - 4 = 4
uli-594_60	15 - 5 = 10	15 - 5 = 10	15 - 5 = 10
uli-594_61	5 x 3 = 15	5 x 3 = 15	5 x 3 = 15
uli-594_62	4 x 4 = 16	4 x 4 = 16	4 x 4 = 16
uli-594_63	2 x 3 = 6	2 x 3 = 6	2 x 3 = 6
uli-594_64	9 ÷ 3 = 3	9 ÷ 3 = 3	9 ÷ 3 = 3
uli-594_65	10 ÷ 2 = 5	10 ÷ 2 = 5	10 ÷ 2 = 5
uli-594_66	100 ÷ 2 = 50	100 ÷ 2 = 50	100 ÷ 2 = 50
uli-594_67	English	anglais	अंग्रेजी
uli-594_68	Chinese	chinois	चीनी
uli-594_69	French	français	फ्रेंच
uli-594_70	Spanish	espagnol	स्पेनिश
uli-594_71	Portuguese	portugais	पुर्तगाली
uli-594_72	Arabic	arabe	अरबी
uli-594_73	German	allemand	जर्मन
uli-594_74	Russian	russe	रूसी
uli-594_75	Dutch	néerlandais	डच
uli-594_76	1 book	1 livre	1 किताब
uli-594_77	2 books	2 livres	2 गो किताब
uli-594_78	5 books	5 livres	5 गो किताब
uli-594_79	10 books	10 livres	10 गो किताब
uli-594_80	book	livre	किताब
uli-594_81	1 song	1 chanson	1 गो गाना
uli-594_82	2 songs	2 chansons	2 गो गाना
uli-594_83	5 songs	5 chansons	5 गो गाना
uli-594_84	10 songs	10 chansons	10 गो गाना
uli-594_85	song	chanson	गाना
uli-594_86	When I walked into the room, she said "Hello"	Quand je suis entrée dans la pièce, elle a dit « Bonjour ».	जब हम कमरा में घुसनी, त ऊ "नमस्ते" कहली
uli-594_87	When I walked into the room, he said "Would you like some coffee?"	Quand je suis entré dans la pièce, il m'a dit : « Voulez-vous un café ? »	जब हम कमरा में घुसनी, त ऊ कहले, "का रउवा कॉफी पीयल चाहब?"
uli-594_88	When I walked into the room, she said "Please close the door behind you"	Quand je suis entrée dans la pièce, elle a dit : « Veuillez fermer la porte derrière vous. »	जब हम कमरा में घुसनी, त ऊ कहली, "अंदर आ के दरवाजा बंद क दीं"
uli-594_89	Algeria	Algérie	अल्जीरिया
uli-594_90	Angola	Angola	अंगोला
uli-594_91	Benin	Bénin	बेनिन
uli-594_92	Botswana	Botswana	बोत्सवाना
uli-594_93	Burkina Faso	Burkina Faso	बुर्किना फासो
uli-594_94	Burundi	Burundi	बुरुंडी
uli-594_95	Cabo Verde	Cap-Vert	काबो वर्दे
uli-594_96	Cameroon	Cameroun	कैमरून
uli-594_97	Central African Republic	République centrafricaine	मध्य अफ्रीकी गणराज्य
uli-594_98	Chad	Chad	चाड
uli-594_99	Comoros	Comores	कोमोरोस
uli-594_100	Congo	Congo	कांगो
uli-594_101	Democratic Republic of the Congo	République démocratique du Congo	कांगो लोकतांत्रिक गणराज्य
uli-594_102	Djibouti	Djibouti	जिबूती
uli-594_103	Egypt	Egypte	मिस्र
uli-594_104	Equatorial Guinea	Guinée équatoriale	इक्वेटोरियल गिनी
uli-594_105	Eritrea	Érythrée	इरिट्रिया
uli-594_106	Eswatini	Eswatini	एस्वातिनी
uli-594_107	Ethiopia	Ethiopie	इथियोपिया
uli-594_108	Gabon	Gabon	गैबॉन
uli-594_109	Gambia	Gambie	गाम्बिया
uli-594_110	Ghana	Ghana	घाना
uli-594_111	Guinea	Guinée	गिनी
uli-594_112	Guinea-Bissau	Guinée-Bissau	गिनी-बिसाउ
uli-594_113	Ivory Coast	Côte d'Ivoire	आइवरी कोस्ट
uli-594_114	Kenya	Kenya	केन्या
uli-594_115	Lesotho	Lesotho	लिसोथो
uli-594_116	Liberia	Libéria	लाईबेरिया
uli-594_117	Libya	Libye	लीबिया
uli-594_118	Madagascar	Madagascar	मेडागास्कर
uli-594_119	Malawi	Malawi	मलावी
uli-594_120	Mali	Mali	माली
uli-594_121	Mauritania	Mauritanie	मॉरिटानिया
uli-594_122	Mauritius	Île Maurice	मॉरीशस
uli-594_123	Morocco	Maroc	मोरक्को
uli-594_124	Mozambique	Mozambique	मोज़ाम्बिक
uli-594_125	Namibia	Namibie	नामीबिया
uli-594_126	Niger	Niger	नाइजर
uli-594_127	Nigeria	Nigeria	नाइजीरिया
uli-594_128	Rwanda	Rwanda	रवांडा
uli-594_129	Sao Tome and Principe	Sao Tomé-et-Principe	साओ तोमे और प्रिंसिपे
uli-594_130	Senegal	Sénégal	सेनेगल
uli-594_131	Seychelles	Seychelles	सेशेल्स
uli-594_132	Sierra Leone	Sierra Leone	सिएरा लियोन
uli-594_133	Somalia	Somalie	सोमालिया
uli-594_134	South Africa	Afrique du Sud	दक्षिण अफ्रीका
uli-594_135	South Sudan	Soudan du Sud	दक्षिण सूडान
uli-594_136	Sudan	Soudan	सूडान
uli-594_137	Tanzania	Tanzanie	तंजानिया
uli-594_138	Togo	Aller	टोगो
uli-594_139	Tunisia	Tunisie	ट्यूनीशिया
uli-594_140	Uganda	Ouganda	युगांडा
uli-594_141	Zambia	Zambie	जाम्बिया
uli-594_142	Zimbabwe	Zimbabwe	जिम्बाब्वे
uli-594_143	1	1	1
uli-594_144	2	2	2
uli-594_145	3	3	3
uli-594_146	4	4	4
uli-594_147	5	5	5
uli-594_148	6	6	6
uli-594_149	7	7	7
uli-594_150	8	8	8
uli-594_151	9	9	9
uli-594_152	10	10	10
uli-594_153	11	11	11
uli-594_154	12	12	12
uli-594_155	13	13	13
uli-594_156	14	14	14
uli-594_157	15	15	15
uli-594_158	20	20	20
uli-594_159	30	30	30
uli-594_160	40	40	40
uli-594_161	50	50	50
uli-594_162	60	60	60
uli-594_163	70	70	70
uli-594_164	80	80	80
uli-594_165	90	90	90
uli-594_166	100	100	100
uli-594_167	200	200	200
uli-594_168	1000	1000	1000
uli-594_169	5000	5000	5000
uli-594_170	10000	10000	10000
uli-594_171	He left 1 hour ago	Il est parti il ​​y a une heure	ऊ घंटा भर पहिले निकल गइले
uli-594_172	He left 2 hours ago	Il est parti il ​​y a 2 heures	ऊ 2 घंटा पहिले निकल गइले
uli-594_173	He left 5 hours ago	Il est parti il ​​y a 5 heures	ऊ 5 घंटा पहिले निकल गइले
uli-594_174	He left 1 minute ago	Il est parti il ​​y a une minute	ऊ 1 मिनट पहिले निकल गइले
uli-594_175	He left 2 minutes ago	Il est parti il ​​y a 2 minutes	ऊ 2 मिनट पहिले निकल गइले
uli-594_176	He left 5 minutes ago	Il est parti il ​​y a 5 minutes	ऊ 5 मिनट पहिले निकल गइले
uli-594_177	He left 1 second ago	Il est parti il ​​y a une seconde	ऊ 1 सेकंड पहिले निकल गइले
uli-594_178	He left 2 seconds ago	Il est parti il ​​y a 2 secondes	ऊ 2 सेकंड पहिले निकल गइले
uli-594_179	He left 5 seconds ago	Il est parti il ​​y a 5 secondes	ऊ 5 सेकंड पहिले निकल गइले
uli-594_180	He left 1 day ago	Il est parti il ​​y a un jour	ऊ 1 दिन पहिले निकल गइले
uli-594_181	He left 2 days ago	Il est parti il ​​y a 2 jours	ऊ 2 दिन पहिले निकल गइले
uli-594_182	He left 5 days ago	Il est parti il ​​y a 5 jours	ऊ 5 दिन पहिले निकल गइले
uli-594_183	He left 1 week ago	Il est parti il ​​y a une semaine	ऊ 1 हफ्ता पहिले निकल गइले
uli-594_184	He left 2 weeks ago	Il est parti il ​​y a 2 semaines	ऊ 2 हफ्ता पहिले निकल गइले
uli-594_185	He left 5 weeks ago	Il est parti il ​​y a 5 semaines	ऊ 5 हफ्ता पहिले निकल गइले
uli-594_186	He finished school 1 month ago	Il a terminé ses études il y a un mois	1 महीना पहिले उनकर स्कूल के पढ़ाई पूरा हो गइल
uli-594_187	He finished school 2 months ago	Il a terminé ses études il y a 2 mois	2 महीना पहिले उनकर स्कूल के पढ़ाई पूरा हो गइल
uli-594_188	He finished school 5 months ago	Il a terminé ses études il y a 5 mois	5 महीना पहिले उनकर स्कूल के पढ़ाई पूरा हो गइल
