id	ENGLISH	TRANSLATION IN YOUR LANGUAGE
CLDR-1	CLDR (the Common Locale Data Repository) is a global database created by the Unicode Consortium, a not-for-profit global organization. CLDR helps computers work correctly in different languages. It includes things like the names of months and days, date and number formats, and other language rules that phones, websites, and apps rely on. In practice, the only way for most modern software to support a language properly is for that language to be included in CLDR. CLDR is the largest and most comprehensive shared database of language and regional information available today.	CLDR (ny Common Locale Data Repository) dia tobin’angondrakitra iraisam-pirenena iray noforonin’ny Unicode Consortium, fikambanana iraisam-pirenena tsy itadiavam-bola iray. CLDR dia manampy ireo solosaina hiasa araka ny tokony ho izy amin’ny teny maro samihafa. Izy io dia miaty zavatra toy ireo anaran’ireo volana sy andro, fiendrika daty sy isa, ary fitsipi-teny hafa izay iankinan’ireo telefaonina sy tranonkala ary app. Amin’ny fampiharana, ny fomba tokana ahafahan’ny ankamaroan’ireo rindrambaiko maoderina mandray an-tanana ny teny iray araka ny tokony ho izy dia ny fisian’io teny io ao amin’ny CLDR. CLDR dia ilay tobin’angondrakitry ny fampahalalana momba ny teny sy ny faritra itambarana lehibe indrindra sy mahafaobe indrindra misy ankehitriny.
CLDR-2	Anyone can view CLDR data, but improving it and adding to it is a detailed process. Two times each year, volunteers and language experts can propose new translations, fix mistakes, discuss disagreements, and vote on what best represents real language use. They can also add new languages to CLDR, helping their languages become part of the digital age. 	Na iza na iza dia afaka mijery angondrakitra CDLR, saingy misy fizotra antsipiriany kosa ny fanatsarana azy sy ny fanampiana zavatra aminy. Indroa isan-taona, ireo mpilatsaka an-tsitrapo sy mpahay teny manokana dia afaka mandroso dikanteny vaovao, manitsy ireo diso, miady hevitra momba ireo tsy fitovian-kevitra ary mandatsa-bato hifidianana izay maneho tsara indrindra ny fampiasan-teny tena izy. Afaka manampy teny ao amin’ny CLDR, manampy ny tenim-pirenen’izy ireo ho lasa anatin’ny vanim-potoana nomerika ihany koa izy ireo.
CLDR-3	Instead of decisions being made by a small group behind closed doors, CLDR is shaped through open discussion and review. After several stages of checking and approval, the final data is released and used by billions of devices and applications around the world.	CLDR dia volavolaina amin’ny alalan’ny adihevitra sy fandinihana misokatra, fa tsy fanapahan-kevitra ataona vondron’olom-bitsy ao an’efitra mikatom-baravarana. Aorian’ny ambaratonga fanamarinana sy fankatoavana maromaro, dia avoaka sy ampiasain’ny fitaovan-tserasera sy rindranasa an-tapitrisany eran’izao tontolo izao ilay angondrakitra farany.
KBIUX-1	KBIUX: Multilingual and Multicultural UX/UI Design	KBIUX: Tefibika UX/UI Maro Teny sy Maro Kolontsaina
KBIUX-2	KBIUX is a 5-week online course designed for beginners and early-career students (18+ years old) interested in the fundamentals of User Experience (UX) and User Interface (UI) design — with a specific focus on multilingual, multicultural design for under-resourced and digitally disadvantaged languages worldwide.	KBIUX dia fianarana an-jotra 5-herinandro ho an’ireo mpianatra vao manomboka sy mihamatihanina arak’asa (18+ taona) liana amin’ireo fahalalana fototra momba ny rafibika User Experience (UX) sy User Interface (UI) — mifantoka manokana amin’ny tefibika maro teny sy maro kolontsaina ho an’ireo teny kely enti-manana sy mahantra ara-nomerika eran’izao tontolo izao.
KBIUX-3	To learn more, please fill out this short survey:	Mba hahazoana fanazavana fanampiny, dia fenoy ity fitsapan-kevitra fohy ity azafady.
Local Organization Form-1	Survey Form	Fisy Fitsapan-kevitra
Local Organization Form-2	What is your email address?	Inona ny adiresy mailakao?
Local Organization Form-3	What is your full name?	Iza ny anaranao feno?
Local Organization Form-4	Which language do you wish to contribute data for?	Teny iza no irinao handrotsahana angondrakitra? 
Local Organization Form-5	What is your background with this language? Is your relationship with this language social, academic, and/or professional? Please share as much information as you can.	Inona no fototra iraisanao amin’ity teny ity? Noho ny sosialy, akademika sy/na anton’asa ve ny fifandraisanao amin’ity teny ity? Mizarà fampahalalana betsaka araka izay azonao atao azafady.
