id	ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE
uli-594_1	1 hour	1 heure	1 ora
uli-594_2	2 hours	2 heures	2 ora
uli-594_3	5 hours	5 heures	5 ora
uli-594_4	1 minute	1 minute	1 minitra
uli-594_5	2 minutes	2 minutes	2 minitra
uli-594_6	5 minutes	5 minutes	5 minitra
uli-594_7	1 second	1 seconde	1 segondra
uli-594_8	2 seconds	2 secondes	2 segondra
uli-594_9	5 seconds	5 secondes	5 segondra
uli-594_10	1 day	1 jour	1 andro
uli-594_11	2 days	2 jours	2 andro
uli-594_12	5 days	5 jours	5 andro
uli-594_13	1 week	1 semaine	1 herinandro
uli-594_14	2 weeks	2 semaines	2 herinandro
uli-594_15	5 weeks	5 semaines	5 herinandro
uli-594_16	1 month	1 mois	1 volana
uli-594_17	2 months	2 mois	2 volana
uli-594_18	5 months	5 mois	5 volana
uli-594_19	1 year	1 an	1 taona
uli-594_20	2 years	2 ans	2 taona
uli-594_21	5 years	5 ans	5 taona
uli-594_22	The train departs in 1 hour	Le train part dans 1 heure	Hiainga afaka 1 ora ny lamasinina
uli-594_23	The train departs in 2 hours	Le train part dans 2 heures	Hiainga afaka 2 ora ny lamasinina
uli-594_24	The train departs in 5 hours	Le train part dans 5 heures	Hiainga afaka 3 ora ny lamasinina
uli-594_25	The train departs in 1 minute	Le train part dans 1 minute	Hiainga afaka 1 minitra ny lamasinina
uli-594_26	The train departs in 2 minutes	Le train part dans 2 minutes	Hiainga afaka 2 minitra ny lamasinina
uli-594_27	The train departs in 5 minutes	Le train part dans 5 minutes	Hiainga afaka 5 minitra ny lamasinina
uli-594_28	The train departs in 1 second	Le train part dans 1 seconde	Hiainga afaka 1 segondra ny lamasinina
uli-594_29	The train departs in 2 seconds	Le train part dans 2 secondes	Hiainga afaka 2 segondra ny lamasinina
uli-594_30	The train departs in 5 seconds	Le train part dans 5 secondes	Hiainga afaka 5 segondra ny lamasinina
uli-594_31	My birthday is in 1 day	Mon anniversaire est dans un jour	Afaka 1 andro ny tsingerintaona nahaterahako
uli-594_32	My birthday is in 2 days	Mon anniversaire est dans deux jours.	Afaka 2 andro ny tsingerintaona nahaterahako
uli-594_33	My birthday is in 5 days	Mon anniversaire est dans 5 jours	Afaka 5 andro ny tsingerintaona nahaterahako
uli-594_34	My birthday is in 1 week	Mon anniversaire est dans une semaine	Afaka 1 herinandro ny tsingerintaona nahaterahako
uli-594_35	My birthday is in 2 weeks	Mon anniversaire est dans deux semaines.	Afaka 2 herinandro ny tsingerintaona nahaterahako
uli-594_36	My birthday is in 5 weeks	Mon anniversaire est dans 5 semaines	Afaka 5 herinandro ny tsingerintaona nahaterahako
uli-594_37	My birthday is in 1 month	Mon anniversaire est dans un mois.	Afaka 1 volana ny tsingerintaona nahaterahako
uli-594_38	My birthday is in 2 months	Mon anniversaire est dans deux mois.	Afaka 2 volana ny tsingerintaona nahaterahako
uli-594_39	My birthday is in 5 months	Mon anniversaire est dans 5 mois	Afaka 5 volana ny tsingerintaona nahaterahako
uli-594_40	I finish school in 1 year	Je termine mes études dans un an.	Afaka 1 taona dia vita ny fianarako
uli-594_41	I finish school in 2 years	Je termine mes études dans 2 ans	Afaka 2 taona dia vita ny fianarako
uli-594_42	I finish school in 5 years	Je termine mes études dans 5 ans.	Afaka 5 taona dia vita ny fianarako
uli-594_43	The battery is 100% full.	La batterie est chargée à 100%.	Voafahana 100% ny vatoaratra.
uli-594_44	The battery is 53% full.	La batterie est chargée à 53%.	Voafahana 53% ny vatoaratra.
uli-594_45	The batter is 10% full.	La pâte est remplie à 10%.	Voafahana 10% ny vatoaratra.
uli-594_46	100%	100%	100%
uli-594_47	53%	53%	53%
uli-594_48	10%	10%	10%
uli-594_49	5 divided by 2 equals 2.5	5 divisé par 2 égale 2,5	5 zaraina 2 mira 2,5
uli-594_50	7 divided by 2 equals 3.5	7 divisé par 2 égale 3,5	7 zaraina 2 mira 3,5
uli-594_51	15 divided by 2 equals 7.5	15 divisé par 2 égale 7,5	15 zaraina 2 mira 7,5
uli-594_52	2.5	2.5	2,5
uli-594_53	3.5	3.5	3,5
uli-594_54	7.5	7,5	7,5
uli-594_55	2.5 + 2.5 = 5	2,5 + 2,5 = 5	2,5 + 2,5 = 5
uli-594_56	3.5 + 3.5 = 7	3,5 + 3,5 = 7	3,5 + 3,5 = 7
uli-594_57	7.5 + 7.5 = 15	7,5 + 7,5 = 15	7,5 + 7,5 = 15
uli-594_58	5 - 2.5 = 2.5	5 - 2,5 = 2,5	5 - 2,5 = 2,5
uli-594_59	8 - 4 = 4	8 - 4 = 4	8 - 4 = 4
uli-594_60	15 - 5 = 10	15 - 5 = 10	15 - 5 = 10
uli-594_61	5 x 3 = 15	5 x 3 = 15	5 x 3 = 15
uli-594_62	4 x 4 = 16	4 x 4 = 16	4 x 4 = 16
uli-594_63	2 x 3 = 6	2 x 3 = 6	2 x 3 = 6
uli-594_64	9 ÷ 3 = 3	9 ÷ 3 = 3	9 ÷ 3 = 3
uli-594_65	10 ÷ 2 = 5	10 ÷ 2 = 5	10 ÷ 2 = 5
uli-594_66	100 ÷ 2 = 50	100 ÷ 2 = 50	100 ÷ 2 = 50
uli-594_67	English	anglais	Anglisy
uli-594_68	Chinese	chinois	Sinoa
uli-594_69	French	français	Frantsay
uli-594_70	Spanish	espagnol	Espagnola
uli-594_71	Portuguese	portugais	Portigey
uli-594_72	Arabic	arabe	Arabo
uli-594_73	German	allemand	Alemana
uli-594_74	Russian	russe	Rosianina
uli-594_75	Dutch	néerlandais	Neerlandey
uli-594_76	1 book	1 livre	boky 1
uli-594_77	2 books	2 livres	boky 2
uli-594_78	5 books	5 livres	boky 5
uli-594_79	10 books	10 livres	boky 10
uli-594_80	book	livre	boky
uli-594_81	1 song	1 chanson	hira 1
uli-594_82	2 songs	2 chansons	hira 2
uli-594_83	5 songs	5 chansons	hira 5
uli-594_84	10 songs	10 chansons	hira 10
uli-594_85	song	chanson	hira
uli-594_86	When I walked into the room, she said "Hello"	Quand je suis entrée dans la pièce, elle a dit « Bonjour ».	Rehefa niditra tao amin'ilay efitra aho, dia hoy izy hoe « Manahoana »
uli-594_87	When I walked into the room, he said "Would you like some coffee?"	Quand je suis entré dans la pièce, il m'a dit : « Voulez-vous un café ? »	Rehefa niditra tao amin'ilay efitra aho, dia hoy izy hoe « Sao mba te hisotro kafe ve ianao? »
uli-594_88	When I walked into the room, she said "Please close the door behind you"	Quand je suis entrée dans la pièce, elle a dit : « Veuillez fermer la porte derrière vous. »	Rehefa niditra tao amin'ilay efitra aho, dia hoy izy hoe « Akatòny ilay varavarana avy nidiranao azafady. »
uli-594_89	Algeria	Algérie	Alzeria
uli-594_90	Angola	Angola	Angola
uli-594_91	Benin	Bénin	Benina
uli-594_92	Botswana	Botswana	Botswana
uli-594_93	Burkina Faso	Burkina Faso	Borkina Faso
uli-594_94	Burundi	Burundi	Borondia
uli-594_95	Cabo Verde	Cap-Vert	Kapivera
uli-594_96	Cameroon	Cameroun	Kamerona
uli-594_97	Central African Republic	République centrafricaine	Repoblika Santrafrikanina
uli-594_98	Chad	Chad	Tsady
uli-594_99	Comoros	Comores	Kaomoro
uli-594_100	Congo	Congo	Kongo
