id	ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE
uli-594_1	1 hour	1 heure	1 hour
uli-594_2	2 hours	2 heures	2 hours
uli-594_3	5 hours	5 heures	5 hours
uli-594_4	1 minute	1 minute	1 minute
uli-594_5	2 minutes	2 minutes	2 minutes
uli-594_6	5 minutes	5 minutes	5 minutes
uli-594_7	1 second	1 seconde	1 second
uli-594_8	2 seconds	2 secondes	2 seconds
uli-594_9	5 seconds	5 secondes	5 seconds
uli-594_10	1 day	1 jour	1 day
uli-594_11	2 days	2 jours	2 days
uli-594_12	5 days	5 jours	5 days
uli-594_13	1 week	1 semaine	1 week
uli-594_14	2 weeks	2 semaines	2 weeks
uli-594_15	5 weeks	5 semaines	5 weeks
uli-594_16	1 month	1 mois	1 month
uli-594_17	2 months	2 mois	2 months
uli-594_18	5 months	5 mois	5 months
uli-594_19	1 year	1 an	1 year
uli-594_20	2 years	2 ans	2 years
uli-594_21	5 years	5 ans	5 years
uli-594_22	The train departs in 1 hour	Le train part dans 1 heure	The train departs in 1 hour
uli-594_23	The train departs in 2 hours	Le train part dans 2 heures	The train departs in 2 hours
uli-594_24	The train departs in 5 hours	Le train part dans 5 heures	The train departs in 5 hours
uli-594_25	The train departs in 1 minute	Le train part dans 1 minute	The train departs in 1 minute
uli-594_26	The train departs in 2 minutes	Le train part dans 2 minutes	The train departs in 2 minutes
uli-594_27	The train departs in 5 minutes	Le train part dans 5 minutes	The train departs in 5 minutes
uli-594_28	The train departs in 1 second	Le train part dans 1 seconde	The train departs in 1 second
uli-594_29	The train departs in 2 seconds	Le train part dans 2 secondes	The train departs in 2 seconds
uli-594_30	The train departs in 5 seconds	Le train part dans 5 secondes	The train departs in 5 seconds
uli-594_31	My birthday is in 1 day	Mon anniversaire est dans un jour	My birthday is in 1 day
uli-594_32	My birthday is in 2 days	Mon anniversaire est dans deux jours.	My birthday is in 2 days
uli-594_33	My birthday is in 5 days	Mon anniversaire est dans 5 jours	My birthday is in 5 days
uli-594_34	My birthday is in 1 week	Mon anniversaire est dans une semaine	My birthday is in 1 week
uli-594_35	My birthday is in 2 weeks	Mon anniversaire est dans deux semaines.	My birthday is in 2 weeks
