LARGE NUMBERS				
In English, one way to write out the four-digit number 1000 is "1 thousand." A way to write 1500 is "1.5 thousand". Please provide translations of the following six abbreviations.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	
1000	1 thousand	1 हजार		
2000	2 thousand	2 हजार		
1500	1.5 thousand	डेढ हजार	1.5 हजार sounds awkward in Bhojpuri.	
2300	2.3 thousand	2 हजार 300		
10000	10 thousand	10 हजार		
43000	43 thousand	43 हजार		
10500	10.5 thousand	10 हजार 500		
437000	43.7 thousand	4 लाख 37 हजार		
134000	134 thousand	1 लाख 34 हजार		
278000	278 thousand	2 लाख 78 हजार		
134700	134.7 thousand	1 लाख 34 हजार 700		
278100	278.1 thousand	2 लाख 78 हजार 100		
1000000	1 million	10 लाख		
5000000	5 million	50 लाख		
1100000	1.1 million	11 लाख		
5700000	5.7 million	57 लाख		
11000000	11 million	1 करोड़ 10 लाख		
57000000	57 million	5 करोड़ 70 लाख		
11500000	11.5 million	1 करोड़ 15 लाख		
57700000	57.7 million	5 करोड़ 77 लाख		
134000000	134 million	13 करोड़ 40 लाख		
317000000	317 million	31 करोड़ 70 लाख		
134700000	134.7 million	13 करोड़ 47 लाख		
317900000	317.9 million	31 करोड़ 79 लाख		
1000000000	1 billion	1 अरब	or 100 करोड़	
4000000000	4 billion	4 अरब	or 400 करोड़	
1200000000	1.2 billion	1 अरब 20 करोड़		
4700000000	4.7 billion	4 अरब 70 करोड़		
11000000000	11 billion	11 अरब		
39000000000	39 billion	39 अरब		
11200000000	11.2 billion	11 अरब 20 करोड़		
39900000000	39.9 billion	39 अरब 90 करोड़		
134000000000	134 billion	134 अरब		
623000000000	623 billion	623 अरब		
134700000000	134.7 billion	134 अरब 70 करोड़		
623500000000	623.5 billion	625 अरब 50 करोड़		
1000000000000	1 trillion	1 खरब		
4000000000000	4 trillion	4 खरब		
1700000000000	1.7 trillion	1 खरब 70 अरब		
4200000000000	4.2 trillion	4 खरब 200 अरब		
17000000000000	17 trillion	17 खरब		
42000000000000	42 trillion	42 खरब		
17800000000000	17.8 trillion	17 खरब 800 अरब		
42300000000000	42.3 trillion	42 खरब 300 अरब		
178000000000000	178 trillion	178 खरब		
423000000000000	423 trillion	423 खरब		
178100000000000	178.1 trillion	178 खरब 10 अरब		
423900000000000	423.9 trillion	423 खरब 90 अरब		
In English, one way to write out the four-digit amount $1,000 is "$1K." A way to write $1,500 is "$1.5K". Please provide translations of the following abbreviations, making sure also to use the correct currency symbol in your language. If your currency symbol comes before the number, place it before the number. If your currency symbol normally comes after the number, place it after the number.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	
$1,000	$1K	₹1,000	In Bhojpuri, we do not use abbreviations like K, M, B etc. Instead, we write full number.	
$7,000	$7K	₹7,000		
$1,500	$1.5K	₹1,500		
$7,200	$7.2K	₹7,200		
$10,000	$10K	₹10,000		
$99,000	$99K	₹99,000		
$10,500	$10.5K	₹10,500		
$99,100	$99.1K	₹99,100		
$134,000	$134K	₹1,34,000		
$274,000	$274K	₹2,74,000		
$134,700	$134.7K	₹1,34,700		
$274,900	$274.9K	₹2,74,900		
$1,000,000	$1M	₹10,00,000		
$7,000,000	$7M	₹70,00,000		
$1,100,000	$1.1M	₹1,10,00,000		
$8,700,000	$8.7M	₹87,00,000		
$11,000,000	$11M	₹1,10,00,000		
$85,000,000	$85M	₹8,50,00,000		
$11,500,000	$11.5M	₹11,50,00,000		
$85,400,000	$85.4M	₹8,54,00,000		
$134,000,000	$134M	₹13,40,00,000		
$867,000,000	$867M	₹86,70,00,000		
$134,700,000	$134.7M	₹13,47,00,000		
$867,200,000	$867.2M	₹86,72,00,000		
$1,000,000,000	$1B	₹100,00,00,000		
$7,000,000,000	$7B	₹700,00,00,000		
$1,200,000,000	$1.2B	₹12,00,00,00,000		
$7,500,000,000	$7.5B	₹75,00,00,00,000		
$11,000,000,000	$11B	₹11,00,00,00,000		
$81,000,000,000	$81B	₹81,00,00,00,000		
$11,200,000,000	$11.2B	₹11,200,00,00,000		
$81,400,000,000	$81.4B	₹81,400,00,00,000		
$134,000,000,000	$134B	₹1,34,00,00,00,000		
$912,000,000,000	$912B	₹9,12,00,00,00,000		
$134,700,000,000	$134.7B	₹1,34,70,00,00,000		
$912,900,000,000	$912.9B	₹9,12,90,00,00,000		
$1,000,000,000,000	$1T	₹1,00,00,00,00,00,000		
$9,000,000,000,000	$9T	₹9,00,00,00,00,00,000		
$1,700,000,000,000	$1.7T	₹1,70,00,00,00,00,000		
$9,300,000,000,000	$9.3T	₹9,30,00,00,00,00,000		
$17,000,000,000,000	$17T	₹17,00,00,00,00,00,000		
$93,000,000,000,000	$93T	₹93,00,00,00,00,00,000		
$17,800,000,000,000	$17.8T	₹17,80,00,00,00,00,000		
$93,500,000,000,000	$93.5T	₹93,50,00,00,00,00,000		
$170,000,000,000,000	$170T	₹1,70,00,00,00,00,00,000		
$170,900,000,000,000	$170.9T	₹1,70,90,00,00,00,00,000		
$930,000,000,000,000	$930T	₹93,00,00,00,00,00,00,000		
$930,400,000,000,000	$930.4T	₹93,04,00,00,00,00,00,000		
In English, the SHORTEST abbreviation of the four-digit number 1000 is 1K. The SHORTEST abbreviation of 1500 is 1.5K. Please provide the SHORTEST abbreviation in your language of the following numbers.				
Full Number	English Abbreviation	Abbreviation in YOUR Language	NOTES BY TRANSLATOR (IF NECESSARY)	Xpath (IGnore)
1,000	1K	1 हजार	In Bhojpuri, we don't commonly use English shorthand style, like K/M/B (as 1K, 1.5K). Instead,  numbers are always written out in full.	//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="one"]
7,000	7K	7 हजार		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="one"]
1,500	1.5K	1 हजार 500		//ldml/numbers/decimalFormats[@numberSystem="latn"]/decimalFormatLength[@type="short"]/decimalFormat[@type="standard"]/pattern[@type="1000"][@count="other"]
